Order_ID,Customer_Name,City,Order_Date,Order_Time,Food_Item,Quantity,Price,Payment_Mode,Customer_Rating,Revenue,Customer_ID,Gender,Age,Restaurant_Name,Food_Category,Delivery_Fee,Discount,Final_Bill,Delivery_Time_Minutes,Order_Status
1001,Anitha,Trichy,2025-12-26,15:09,Noodles,2,293,Cash,3,586,1001,Male,23,Hotel Saravana Bhavan,Chinese,64,14,636,41,Delivered
1002,Ravi,Thoothukudi,2025-12-05,11:30,Noodles,5,288,UPI,1,1440,1002,Male,34,Hotel Saravana Bhavan,Chinese,93,6,1527,35,Delivered
1003,Ravi,Coimbatore,2025-03-23,11:53,Biryani,5,146,Cash,4,730,1003,Female,30,Pizza Hut,Chinese,92,6,816,59,Pending
1004,Vijay,Salem,2025-08-07,11:29,Parotta,3,99,Cash,2,297,1004,Female,22,A2B,Chinese,89,31,355,50,Pending
1005,Priya,Madurai,2025-03-07,12:06,Dosa,2,313,UPI,4,626,1005,Female,47,KFC,South Indian,64,37,653,15,Delivered
1006,Meena,Coimbatore,2025-11-20,19:20,Shawarma,5,273,UPI,1,1365,1006,Female,41,Hotel Saravana Bhavan,Fast Food,72,42,1395,40,Pending
1007,Anitha,Salem,2025-09-16,12:43,Biryani,1,324,Card,3,324,1007,Male,43,Pizza Hut,North Indian,67,41,350,15,Delivered
1008,Priya,Chennai,2025-10-15,11:35,Shawarma,3,170,Cash,2,510,1008,Male,46,Hotel Saravana Bhavan,Fast Food,20,2,528,20,Cancelled
1009,Suresh,Chennai,2025-02-04,20:57,Dosa,1,324,Cash,5,324,1009,Male,36,KFC,Chinese,28,36,316,33,Cancelled
1010,Kumar,Tirunelveli,2025-09-05,14:53,Pizza,2,213,UPI,3,426,1010,Male,53,Hotel Saravana Bhavan,South Indian,41,22,445,21,Delivered
1011,Divya,Coimbatore,2025-05-28,22:10,Fried Rice,1,223,Card,4,223,1011,Male,34,A2B,Chinese,81,44,260,39,Delivered
1012,Suresh,Trichy,2025-03-04,20:35,Fried Rice,5,237,Cash,4,1185,1012,Female,31,A2B,South Indian,48,35,1198,49,Pending
1013,Ravi,Chennai,2025-09-04,21:49,Parotta,2,328,Card,2,656,1013,Male,53,Dominos,Chinese,49,1,704,42,Pending
1014,Arun,Trichy,2025-09-12,22:47,Dosa,2,142,Cash,1,284,1014,Female,58,A2B,North Indian,62,47,299,51,Pending
1015,Karthik,Thoothukudi,2025-11-08,11:07,Burger,3,237,UPI,3,711,1015,Male,58,KFC,Chinese,47,6,752,30,Pending
1016,Karthik,Thoothukudi,2025-10-17,11:42,Burger,2,185,Cash,4,370,1016,Male,57,A2B,South Indian,52,18,404,21,Delivered
1017,Divya,Madurai,2025-10-17,19:04,Dosa,4,173,Card,4,692,1017,Male,52,A2B,Fast Food,59,46,705,51,Cancelled
1018,Ravi,Coimbatore,2025-05-12,19:04,Burger,4,341,UPI,4,1364,1018,Male,27,KFC,South Indian,37,15,1386,47,Pending
1019,Karthik,Tirunelveli,2025-04-13,22:27,Fried Rice,4,182,Cash,2,728,1019,Male,33,Pizza Hut,Chinese,71,43,756,55,Cancelled
1020,Kumar,Chennai,2025-06-19,20:54,Pizza,5,207,Card,3,1035,1020,Male,28,Pizza Hut,Chinese,69,33,1071,45,Pending
1021,Arun,Salem,2025-09-10,18:38,Pizza,3,157,UPI,4,471,1021,Female,59,Pizza Hut,Fast Food,94,3,562,18,Cancelled
1022,Karthik,Chennai,2025-09-16,14:15,Noodles,4,114,UPI,1,456,1022,Male,42,KFC,South Indian,73,41,488,52,Delivered
1023,Suresh,Chennai,2025-07-25,12:19,Noodles,4,209,Cash,2,836,1023,Female,23,Dominos,South Indian,80,22,894,16,Cancelled
1024,Anitha,Trichy,2025-05-11,17:13,Shawarma,3,164,Card,3,492,1024,Female,53,KFC,North Indian,45,25,512,25,Delivered
1025,Karthik,Salem,2025-12-04,10:18,Dosa,3,216,Card,5,648,1025,Female,52,Dominos,Fast Food,57,39,666,15,Cancelled
1026,Meena,Coimbatore,2025-01-12,11:32,Burger,4,241,Cash,1,964,1026,Female,33,Hotel Saravana Bhavan,North Indian,49,24,989,36,Cancelled
1027,Vijay,Salem,2025-01-04,17:43,Shawarma,5,102,Card,5,510,1027,Male,18,Hotel Saravana Bhavan,South Indian,89,8,591,38,Cancelled
1028,Anitha,Coimbatore,2025-02-10,10:26,Fried Rice,4,167,Cash,5,668,1028,Male,48,Dominos,Chinese,87,10,745,20,Pending
1029,Kumar,Trichy,2025-03-26,11:05,Burger,4,225,Cash,2,900,1029,Male,40,A2B,North Indian,53,18,935,48,Delivered
1030,Karthik,Chennai,2025-06-26,18:36,Shawarma,3,261,Card,3,783,1030,Female,25,Pizza Hut,Chinese,36,5,814,36,Delivered
1031,Karthik,Coimbatore,2025-11-12,10:14,Shawarma,5,98,Cash,2,490,1031,Male,50,KFC,Chinese,50,28,512,52,Cancelled
1032,Vijay,Coimbatore,2025-04-13,12:35,Burger,3,181,Cash,2,543,1032,Male,51,Hotel Saravana Bhavan,South Indian,70,10,603,43,Pending
1033,Divya,Madurai,2025-12-09,18:53,Noodles,5,284,Cash,4,1420,1033,Female,45,Hotel Saravana Bhavan,Fast Food,73,47,1446,40,Pending
1034,Divya,Tirunelveli,2025-08-04,18:44,Biryani,4,206,Card,5,824,1034,Male,33,A2B,North Indian,55,0,879,22,Cancelled
1035,Suresh,Thoothukudi,2025-12-28,18:22,Biryani,5,168,UPI,1,840,1035,Male,26,Hotel Saravana Bhavan,North Indian,32,6,866,41,Pending
1036,Divya,Chennai,2025-11-23,11:21,Fried Rice,3,239,Cash,5,717,1036,Male,26,Dominos,Fast Food,28,36,709,22,Delivered
1037,Priya,Madurai,2025-01-28,10:02,Fried Rice,5,335,UPI,4,1675,1037,Male,57,Dominos,Chinese,60,38,1697,46,Pending
1038,Kumar,Thoothukudi,2025-06-20,19:11,Pizza,3,172,Cash,2,516,1038,Male,30,A2B,North Indian,96,35,577,23,Pending
1039,Divya,Chennai,2025-06-01,21:54,Fried Rice,5,269,Cash,3,1345,1039,Female,55,KFC,Fast Food,24,19,1350,16,Pending
1040,Arun,Coimbatore,2025-03-24,11:44,Shawarma,3,307,Card,4,921,1040,Male,22,A2B,Chinese,34,48,907,59,Cancelled
1041,Vijay,Trichy,2025-07-05,19:00,Biryani,2,283,Cash,5,566,1041,Female,34,Pizza Hut,Fast Food,51,10,607,49,Pending
1042,Divya,Salem,2025-02-05,19:25,Noodles,1,196,Cash,1,196,1042,Female,18,KFC,Fast Food,95,2,289,23,Cancelled
1043,Ravi,Chennai,2025-01-12,20:56,Shawarma,1,138,Card,2,138,1043,Female,43,Hotel Saravana Bhavan,North Indian,90,29,199,15,Delivered
1044,Meena,Tirunelveli,2025-02-21,22:06,Dosa,5,212,UPI,5,1060,1044,Male,51,Pizza Hut,Chinese,89,5,1144,43,Delivered
1045,Arun,Trichy,2025-03-24,21:34,Biryani,1,190,Card,2,190,1045,Male,58,Pizza Hut,North Indian,85,44,231,28,Pending
1046,Meena,Trichy,2025-07-04,20:29,Parotta,1,97,UPI,2,97,1046,Female,30,A2B,North Indian,26,20,103,58,Cancelled
1047,Vijay,Tirunelveli,2025-02-12,10:45,Shawarma,5,82,UPI,5,410,1047,Female,48,KFC,North Indian,75,30,455,26,Pending
1048,Ravi,Tirunelveli,2025-09-20,15:42,Fried Rice,1,129,UPI,1,129,1048,Female,54,Hotel Saravana Bhavan,Chinese,30,21,138,19,Cancelled
1049,Priya,Tirunelveli,2025-07-25,18:14,Pizza,1,223,UPI,4,223,1049,Female,26,A2B,North Indian,58,31,250,27,Delivered
1050,Priya,Thoothukudi,2025-05-11,22:09,Dosa,5,332,UPI,2,1660,1050,Male,35,Dominos,Chinese,34,38,1656,23,Cancelled
1051,Meena,Chennai,2025-02-21,17:04,Burger,1,315,UPI,4,315,1051,Female,26,KFC,Chinese,76,34,357,58,Cancelled
1052,Vijay,Tirunelveli,2025-05-05,19:14,Shawarma,5,219,UPI,5,1095,1052,Male,41,Hotel Saravana Bhavan,Chinese,64,33,1126,57,Pending
1053,Meena,Madurai,2025-01-28,13:13,Biryani,5,170,UPI,5,850,1053,Male,34,Pizza Hut,North Indian,59,14,895,44,Pending
1054,Vijay,Salem,2025-04-09,17:15,Shawarma,1,292,Card,1,292,1054,Male,27,KFC,Chinese,71,13,350,36,Pending
1055,Arun,Coimbatore,2025-10-14,18:44,Fried Rice,4,109,UPI,3,436,1055,Female,18,KFC,Fast Food,83,21,498,41,Pending
1056,Vijay,Trichy,2025-12-21,16:30,Biryani,1,103,UPI,2,103,1056,Male,26,A2B,Chinese,62,36,129,42,Delivered
1057,Ravi,Coimbatore,2025-10-20,15:12,Shawarma,5,252,Card,1,1260,1057,Male,29,Pizza Hut,Chinese,53,3,1310,41,Delivered
1058,Arun,Thoothukudi,2025-07-28,17:51,Fried Rice,1,230,Card,5,230,1058,Female,31,Dominos,South Indian,27,0,257,29,Delivered
