Order_ID,Customer_Name,City,Order_Date,Order_Time,Food_Item,Quantity,Price,Payment_Mode,Customer_Rating,Revenue
1001,Anitha,Trichy,2025-12-26,15:09,Noodles,2,293,Cash,3,586
1002,Ravi,Thoothukudi,2025-12-05,11:30,Noodles,5,288,UPI,1,1440
1003,Ravi,Coimbatore,2025-03-23,11:53,Biryani,5,146,Cash,4,730
1004,Vijay,Salem,2025-08-07,11:29,Parotta,3,99,Cash,2,297
1005,Priya,Madurai,2025-03-07,12:06,Dosa,2,313,UPI,4,626
1006,Meena,Coimbatore,2025-11-20,19:20,Shawarma,5,273,UPI,1,1365
1007,Anitha,Salem,2025-09-16,12:43,Biryani,1,324,Card,3,324
1008,Priya,Chennai,2025-10-15,11:35,Shawarma,3,170,Cash,2,510
1009,Suresh,Chennai,2025-02-04,20:57,Dosa,1,324,Cash,5,324
1010,Kumar,Tirunelveli,2025-09-05,14:53,Pizza,2,213,UPI,3,426
1011,Divya,Coimbatore,2025-05-28,22:10,Fried Rice,1,223,Card,4,223
1012,Suresh,Trichy,2025-03-04,20:35,Fried Rice,5,237,Cash,4,1185
1013,Ravi,Chennai,2025-09-04,21:49,Parotta,2,328,Card,2,656
1014,Arun,Trichy,2025-09-12,22:47,Dosa,2,142,Cash,1,284
1015,Karthik,Thoothukudi,2025-11-08,11:07,Burger,3,237,UPI,3,711
1016,Karthik,Thoothukudi,2025-10-17,11:42,Burger,2,185,Cash,4,370
1017,Divya,Madurai,2025-10-17,19:04,Dosa,4,173,Card,4,692
1018,Ravi,Coimbatore,2025-05-12,19:04,Burger,4,341,UPI,4,1364
1019,Karthik,Tirunelveli,2025-04-13,22:27,Fried Rice,4,182,Cash,2,728
1020,Kumar,Chennai,2025-06-19,20:54,Pizza,5,207,Card,3,1035
1021,Arun,Salem,2025-09-10,18:38,Pizza,3,157,UPI,4,471
1022,Karthik,Chennai,2025-09-16,14:15,Noodles,4,114,UPI,1,456
1023,Suresh,Chennai,2025-07-25,12:19,Noodles,4,209,Cash,2,836
1024,Anitha,Trichy,2025-05-11,17:13,Shawarma,3,164,Card,3,492
1025,Karthik,Salem,2025-12-04,10:18,Dosa,3,216,Card,5,648
1026,Meena,Coimbatore,2025-01-12,11:32,Burger,4,241,Cash,1,964
1027,Vijay,Salem,2025-01-04,17:43,Shawarma,5,102,Card,5,510
1028,Anitha,Coimbatore,2025-02-10,10:26,Fried Rice,4,167,Cash,5,668
1029,Kumar,Trichy,2025-03-26,11:05,Burger,4,225,Cash,2,900
1030,Karthik,Chennai,2025-06-26,18:36,Shawarma,3,261,Card,3,783
1031,Karthik,Coimbatore,2025-11-12,10:14,Shawarma,5,98,Cash,2,490
